pos,neg,komment,result
,,"Отличный кнопочный телефон. Очень долго держит заряд. Если телефон нужен только для звонков, то лучше не найти.",Хороший
"Батарея держит заряд долго. Можно скинуть телефонную книгу с андроида через bluetooth (правда потом её придётся нудно править, убирая продублированные номера). Настраиваемое меню левой клавиши.","1) снятие блокировки клавиатуры это ""цирк"". Либо я отключал код, и клавиатура разблокировалась нажатием одной клавиши (левой функциональной, которая постоянно нажимается случайно), либо ставил код минимум из пяти знаков. Оказывается двухкнопочная схема разблокировки работает ТОЛЬКО ПРИ ВКЛЮЧЁННОМ ЭКРАНЕ ОЖИДАНИЯ. В руководстве ничего по этому поводу не сказано.2) абсолютно ненужные сообщения-напоминания о сознательно сброшенных звонках3) телефонная книга формата ""одно имя - один телефонный номер""4) на кнопках при дневном свете не видно знаков5) цена однозначно завышена","Все обнаруженные дополнительные нюансы неоднозначны. Кому-то это достоинство, а кому-то недостаток.1) телефон очень лёгкий2) открыть заднюю крышку трудно3) пластик корпуса тонкий, хотя вполне качественный4) ход кнопок очень короткий, нажатие требует минимального усилия5) невозможно отключить вибрацию при соединении с абонентом при исходящем вызове",Обычный
"Легкий, крепкий корпус, достаточно памяти, функций для кнопочного телефона, хороший звук, быстрый интернет, но для этого типа телефонов по использованию не нужен, т.к. экран небольшой, обычно имеют доп. смартфон или планшет. Этот телефон хорош для многочисленных звонков, сообщений. Короче-работяга. Хорошая батарея, держит 7-10 дней.","Указана 2 мп камера, но уступает аналогам нокиа по качеству. Достаточна только для съемки документов при отличном освещении, снимки на природе -неуд.Цена телефона завышена рублей на 500.","Покупал для работы с хорошей батареей, как ретро-память о предыдущей этой модели. Использованием доволен.",Отличный
"Пользовался несколько месяцев понравилась неплохая автономность ,возможность выхода в интернет ,качество связи а ГЛАВНОЕ дизайн очень.очень понравилось стекло (рамки экрана в выключенном состоянии не видны) .","1.медленный интернет. 2.Подзавышеннная цена.3.много некачественных платных игр,за 4 косаря можно было сделать их беспатными либо сделайте годные игры не требовательные к железу.5медленный интернет (видосы на Ютубе не посмотришь.","В целом телефон очень понравился внешним видом и чертами дизайна напоминает старую нокию.Пластик не создаёт впечатление некачественной игрушки,и в целом видно,что над ним заморочились.",Отличный
"Дизайн, заряд.",Камера,Вполне нормальный телефон для звонков.,Отличный
"Во-первых идеальная связь с абонентом. Во-вторых для меня, для женщины, удобный в руке, невесомый, не занимает много места в сумке. Только для звонков - ИДЕАЛЬНЫЙ! Надежный! Оч. люблю словарь Т9. Присоединяюсь к мнению многих, что в нашей сложной жизни нужно иметь при себе два телефона. Но вне дома все-таки мы разговариваем по телефону больше, нежели пользуемся инетом. Поэтому оч. рада, что появился аналог старого 3110. Всё время с начала существования мобильников имела только NOKIA . Они заслуживают эту любовь!","Нет, т.к. глупо в данном случае рассуждать о прелестях камеры и инета.",,Отличный
"Удобный, не скрипит, не люфтит.Отличная слышимость в обе стороны, достаточное время автономной работы.","На мах громкости хрипит основной динамик, браузер и реализация инет возможностей лишнее. После месяца пользования на дисплее появились горизонтальные полосы в верхней части , купил новый экран за 350, поменяю сам,скорей всего заводской брак.","Долго искал нормальную картинку на рабочий стол. Время прошло и подобные вещи канули в ..., нет чехлов типа ""кармашек"" , канули туда же...",Хороший
"Ностальгия конечно же в первую очередь.Тоненький, приятный на ощупь телефон. У всех кому ни показывал, первая – реакция ностальгическая улыбка на лице. Дизайн действительно удался. Телефон людям внешне нравится.","1.Меню «Контакты» . Вот тут меня бомбануло в первый раз. На против каждого контакта стоит квадратик под фотографию. И не важно есть фотография или нет – квадратик стоит на своем месте и отъедает процентов 20% места под имя контакта. Экран и так достаточно узенький, а тут еще этот квадрат не нужный ни кому. От имени контакта вам видно в лучшем случае 13 символов, посчитайте сколько занимает фамилия и имя вашего начальника и поймете, что это очень мало. Имейте ввиду, что строка не бегущая, т.е. окончание строки вам узнать не удастся. Почему длинные названия контактов не писать в две строки?2. Вызовы. Вот тут меня бомбануло окончательно. Зачем люди покупают телефоны с большими экранами? Ну правильно, чтобы видеть больше информации на экране. Знаете как отображается информация о звонящем или о вызываемом абоненте? Размер поля с именем звонящего не больше 2,5 см шириной, 1см высотой!!! На экране вмещается 2 строчки - 10 символов в верхней и 9 в нижней и не более. Если имя контакта будет состоять из трех слов, то отобразиться только первые два и не важно из скольких символов они состоят.Допустим контакт называется «СПб Академия Ломоносов Михаил», отобразится при звонке как:СПбАкадемия…И пойди пойми кто тебе звонит.Самое забавное (а лично меня бесящее), что 50% всего пространства экрана при вызове просто не заполнено ничем, пусто. Ну что мешало на все пространство дать возможность писать имя. Тут язык русский переходит с литературного на матерный.3. Телефон двухсимочный и если вы пользуетесь только одной симкой, на экране постоянно будет стоять надпись «Нет Sim» - бесит ужасно, а отключить эту надпись не возможно.4. Меню ЗАЧЕМ СТОЛЬКО ИКОНОК? Неужели нельзя было это организовать по человечески? Зачем мне иконки «Музыка», «Видео» «Диктофон» если нет у меня флешки? Зачем выводить отдельным меню «Счётчики», «Змейку» (чушь полная), «Погоду», «Дополнительно». Зачем то есть меню «Мои прилож.» и «Прил и игры» - ЗАЧЕМ? Что нельзя было в одну менюшку всё сложить?","Подытоживая хочу сказать, что похоже разработчики не совсем верно поняли концепцию своего детища, многое было сделано «на коленке» и впопыхах, отсюда и результат. На мой взгляд если не плачевный, то уж точно печальный.Мне просто за бренд обидно, ведь тема то очень интересная. Сейчас многие хотят вернуться с «тыкалок» к «кнопочникам» и кому как не Нокии стать флагманом на фоне дешевого китайского ширпотреба. Да, Ваши телефоны дороже, но Вы качество нормальное обеспечьте и никто Вам слова дурного не скажет.Решение: берите меня на работу руководителем проекта по кнопочным телефонам и проект пойдет в гору.Спасибо за внимание.",Обычный
"Долгий заряд батареи, несенсорный, крепкий, удобный фонарик, хороший уровень сигнала с одной сим-картой (с двумя не проверял)","При переключении режимов между беззвучным, в самолете и обычным звук входящего звонка может в режиме ""Обычный"" установиться на нуле, а в режиме ""Без звука"" - на полную, собеседника слышно хуже, чем в средних смартфонах, царапается, нет 3G","если нужен кнопочный телефон, альтернативы ему просто нет - только китайские телефоны, китайские не стал брать из-за подозрений о том, что они не будут удовлетворять стандартам по излучению радиации (SAR)",Обычный
Заряжать 2 раза в неделю. Смс в формате чата.,"Нельзя быстро скинуть кому-нибудь контакт смской, приходится писать на бумажке иперевбивать. В смс есть функция ""Вставка"". Но этой функцией вы можете вставить.. СМАЙЛИКИ! Вот такие: :-) :-( :-/ и :-*Змейка печальна. Для того чтобы вставить флешку, надо разобрать весь телефон. Сама крышка телефона тоже открываться по-хорошему не спешит.на одну изгорячих кнопок приделана камера, которую лучше бы стыдливо спрятать вглубь меню.","Очень ждала модель, т.к. нужна бодрая изящная звонилка на 2 симки. Очень разочарована. Увы, прошли времена изящных кнопочником. Либо кондовые ксениумы, либо вот эта вот профанация.",Плохой
"Всем кто пишет, что не отображает длинные смс - это не так, просто когда открываешь сообщение сначала появляется окно чата, потом нажимаешь ещё раз открыть на конкретном сообщении в чате и сообщение открывается на весь экран и его можно полностью прочитать двигая вверх и вниз джойстиком. Забавно, этом телефоне есть функции, которых нет в айфоне- FM радио и поддержка карт памяти.",,,Плохой
"Простой, для ребенка нормально","Связь плохая, не ловит там, где у смартфона еще 3 из 5 палок сигнала.","Хороший за свои деньги, но качество сигнала никакое",Обычный
"Главные достоинства для меня :Чистый звук в разговорном динамике (причём динамик отдельный, сейчас это редкость) "" я слышу идеально чётко громко- меня так же слышат.). Звук музыки тоже хороший, но на самом громком уровне иногда хрипит. Полноценный Т9 с записью слов- ребята это сказка! Яркий фонарик тёплого свечения. Маленький- летом в кармане в джинсах не заметите. Аккумулятор аномально долгий: не понятно , кактакой телефон с 1200 мА/ч может вытягивать 5-7 дней в активном режиме использования. Чёрный список. Менее значимые достоинства: Очень яркий чёткий экран, виден со всех ракурсов. При падении на пол, как конструктор разлетается на части- собираешь , всё работает. Очень приятные на ощупь кнопки: при нажатии на них, обещаю, вы получите удовольствие (мягкие, очень приятно нажимать), но джостик можно было сделать и по больше- промахиваешься","Критичные недостатки: ЦЕНА ЦЕНА ЦЕНА! Я конечно понимаю, этот телефон сейчас гораздо лучше , чем остальной хлам , но цена не соизмерима с ценами 2012 года для телефонов с качеством не хуже (даже с учётом подорожания доллара). Красная цена ему 2500- 3000 руб .. Выпуклый экран (плёнки не липнут по краю, а если без плёнки, будет царапаться экран). Нельзя сохранить смс (хотя пишет , что сохранил в черновик, но я всё перерыл- смс нет) Нет папок с подразделами сообщений. Очень неудобная система смс , в виде чата. Нельзя вставить номер телефона из записной книжки в смс. Не критичные недостатки: нет белого списка. Не каждая блютуз гарнитура подключается (нужно перед покупкой проверять по факту подключения- в магазине из четырёх устройств подключился к двум). Будильник звонит всего с одним повтором. Про крышку аккумулятора не верьте, только первое время тяжело снимается, после 5 вскрытий снимается легко, но держится крепко. Ну и если совсем придираться, выглядит , как игрушка, хоть и очень качественно собранная. Невозможность сделать резервную копию контактов. При быстром наборе не высвечивается имя контакта .","В общем впечатления от телефона в целом очень приятные. По этому относительно остального хлама, 3310 дуал сим можно ставить смелую 5+, но относительно того что делали раньше ещё лет 5 назад - это оценка не больше 4. Я принципиально искал именно кнопочный телефон, так как мне это удобно - звонилка отдельно , интернет отдельно (смартфон). Надеюсь производители обратят на таких как я внимание (ведь таких не мало) и не будут бросать производство НОРМАЛЬНЫХ кнопочных телефонов",Отличный
"- Внешний вид. Купил оранжевый: есть некая притягательность, хотя цвет и не классический.- Время работы. При стандартном использовании (дюжина SMS и пара звонков в день) держит 7-9 дней. Конечно, не месяц (заявление производителя), но и эта цифра радует.- Фонарик (вспышка) часто бывает полезным.","- Внешний вид / эргономика. В таком телефонe экран на пол длины не очень нужен. Вследствие, из-за него кнопки смещены вниз, потому пользоваться одной рукой становится неудобно, телефон выскальзывает.- Прошивка. Нельзя перенастроить цветовую схему, а стандартная - вырвиглазная. Меню слишком большое — многие пункты можно было объединить. Ненастраиваемые программные клавиши на домашнем экране, хотя левая настроена под мини-меню, где можно настроить порядок пунктов, можно привыкнуть.- Камера на уровне с задней панелью, потому царапается вместе с ней. Кажется, и не нужна она вовсе, хотя не самый лучший снимок можно сделать на скорую руку.- Слабоват вибромотор. Его легче услышать, чем почувствовать тактильно.","В целом доволен покупкой, к нему несложно привыкнуть. Ожидал идеала телефона-""кирпича"", но ещё есть над чем поработать. Сам телефон хорош, достоин твёрдой 4-ки из 5. Будем надеяться, цены на него упадут и он станет неплохим компаньоном любителей звонилок.P.S.: пользуюсь больше полугода. Плюс автономностью остался в силе. Главная проблема, появившаяся со временем - царапины на экране, верней это целая протертость, ибо пластик. Выглядит неэстетично. С обратной стороны тоже самое.",Хороший
"Батарея держит уже 2 недели при активном пользовании. Сборка на высоте, экран удобный и читаем на солнце. Подсветка клавиш ровная. В руке лежит хорошо! Динамики разговорные и внешние четкие, звук чистый. Качество связи отличное!!! Чёрный список удобный( телефон не показывает кто вам звонил).",Камеру могли бы и убрать или получше вставить. Телефонная книга не очень.,"Телефон очень понравился!!! Как второй телефон! Силиконовый чехол лучше одеть, т.к он скользкий",Отличный
"Все хорошо,Плюсов много, их здесь многие озвучили не буду повторяться.Кнопки на месте, руки помнят по старой версии где кнопки, набираю смс вслепую по Т9.Есть ММС.Кроме функций телефона использую также как плеер. Плеер годный.",В календарь можно добавить только 25 событий.Звук через гарнитуру нормальный. Из трубки же слышно собеседника хуже.В адресной книге к контакту можно привязать только 1 номер. Нужно дублировать контакты.,"Крышка задняя нормально открывается, кто старые телефоны открывал, ничего сложного не будет.",Хороший
"На Яндекс маркете две ветки обсуждения: Nokia 3310 (2017) и 3310 (2017) Dual SIM. Всё смешалось, читайте обе. Официальная модель поставляется с двумя слотами симкарт плюс слот для карты памяти. Односимочные - либо контрафакт или подделка, либо операторские версии.Несмотря на вроде бы завышенную цену, здесь есть за что платить. Поддерживаются сторонние приложения, как в формате jar (Java), так и в формате vxp. Всё устанавливается и с флешки, и с передаче по блютузу. Объём приложения не должен превышать 300 кб, более тяжёлые подтормаживают или вылетают, хотя англо-русско-английский словарь (около 1 Мб) и pdf-ридер (540 кб) установились и работают безупречно. Отличный дисплей с поляризационной прослойкой для устранения инверсии цветов и улучшения читаемости на ярком солнце. Несмотря на выпуклость экрана, за неделю эксплуатации царапин нет, возможно хороший пластик или минеральное стекло. Это лучше, чем хрупкое и бликующее стекло у Филипсов. На картинку обоев можно ставить gif-анимацию.","Джойстик неудобен для толстых пальцев. Поддержка видеофайлов только 320×240 и кодеков маловато. Нет принудительной установки разрешения съёмки - только 2 Мп. Жаль, что нет 3G. Но для голосовой связи это плюс, телефон не ищет лишний раз сети 2G/3G, да и в 2G меньше расходуется батарея. В отзывах много из того, что указано как недостатки, просто устраняется, или уже относится к требованиям как к смартфону. А простая телефонная книга часто становится достоинством, если у Вас не тысячи номеров. Если не хотите видеть логотип незадействованной симки, подберите обои посветлее, будет не так заметно.","Из современных кнопочных телефонов, несмотря на некоторые недостатки, в настоящий момент это лучший выбор. В одном из отзывов написано, что в дождь через USB-гнездо попала вода, отнесли в сервис, там сказали, что ""плату замкнуло""... Эти ""ребята"" из сервиса либо лентяи, либо вместо того чтобы убрать окисление спиртом, используют его для внутреннего употребления :). Микросхемы при низковольтном питании (в телефоне 3,7 В и ниже) из-за попадания влаги на печатные проводники и выводы элементов практически не могут выйти из строя. Или дождик был кислотный?",Отличный
"Батарея, крепкий корпус, дизайн","Приём сети, цена","Взял сей аппарат для ностальгирования. Но увы.. Уже не будет тех ощущений что были 15 лет назад. Телефон не стоит своих денег, однозначно! Использую как звонилку при интенсивном использовании батар держит неделю. Приятно лежит в руке. Сеть ловит слабо, сравнивал с самым дешевым китайским телефоном на андроиде, опратор был один и тот же. Очень жалко компанию, реально не дожимают. Пустили компанию по рукам. Экран пластиковый затерся после недели использования. Корпус крепкий, кидал на пол с вытянутой руки, не разлетается как старая Нокия. Цена сей аппарату 1000-1500 руб.",Обычный
"Первое и основное - хорошее качество передачи звука (как голосового динамика, так и микрофона),Легкий, небольшой размер, качественная сборка, память на 2000 контактов, удобное меню, неплохая батарея, яркий фонарик","Один номер на один контакт, отсутствие собственной памяти.Плеер по качеству звука неплохой, но неудобный - минимум функций, невозможно воспроизводить музыку по папкам. Когда на карточке сотни композиций найти нужную просто нереально","В целом телефон неплохой. Перебрал много современных кнопочных звонилок, в итоге остановился на этом. Практически все кнопочные телефоны сейчас почему-то выпускают с одним динамиком, который используется одновременно и для сигнала вызова и для передачи голоса собеседника. Сигнал у них громкий, но вот с передачей речи собеседника у всех проблемы. Звук резкий и неприятный, (как например у китайской дешевки), или гнусавый как у Самсунгов.В этой Нокии и меня хорошо слышно и я слышу собеседника отлично. С моей точки зрения - это самая важная функция для звонилки, и реализована она здесь отлично. Удивила камера. Решил попробовать на удачу снять документы формата А4 - и - О чудо!, все получилось. Текст отлично виден. И это у камеры 2 мп без автофокуса! Приятная неожиданность. В общем покупкой доволен. Кроме тупого плеера, все остальное в телефоне меня устраивает. Конечно, не помешала бы хорошая камера с автофокусом, но это уже будет стоить других денег, а для своей ценовой категории этот аппарат - лучший. Ставлю пятерку авансом и надеюсь, что разработчики исправят косяки плеера :)",Отличный
"Красивый, легкий.","Время автономной работы, удобство использования, цена.","Покупал телефон только для приема смс. Очень много принимаю смс на ""левые"" симки, поэтому нужен был аппарат только для этого. У меня до этого были на андроид: zte v1, nomu s10. Оба при выключенном вайфай и передаче данные могли лежать и ждать своей смс около 20 дней, что крайней высокий показатель для смартфонов.Другими словами, мне нужен был телефон для режима ожидания.Телефон красивый, легкий. Все кто видел - умилялись. Проблема настигла через неделю после покупки - он разрядился. Зарядил еще раз. Оставил. Не трогал. Опять разрядился. Время удержания заряда в режиме ожидания до 10 дней. При этом никакие сервисы, приложения или еще что-то я не устанавливал. Только вставил симки.Написал на сайте Нокиа в поддержку. Они ответили, что это нормальное время. А заявленное ими - результаты тестов в специальных лабораторных условиях при определенной температуре. В общем, браком они такое время ожидания не считают.Собственно свою цель телефон не выполняет - держит заряд крайне слабо. Смысл тогда в таком телефоне?Про сам интерфейс расписывать не буду, в других отзывах можно почитать и про книжку и т.п. Скажу лишь, что смс читать неудобно: приходит смс от абонента без номера, например от ""info"". Читаю, листаю вниз. Как только доходит до низа сообщения, то следующий клик ""вниз"" (т.е. я листаю и я не знаю, когда конец сообщения, поэтому как обычно жму ""вниз"", чтобы листать дальше) выдает ""ошибку"" - ""Неизвестный номер отправителя"". Я так понимаю, что когда досмотрел смс до конца, телефон при следующем клике ""вниз"" пытается создать ответ на смс, но т.к. номер не циферный, то выдает ошибку. Странное поведение, учитывая, что листая сообщение, я не думаю отвечать на него. Т.е. для этого явно не эта должна быть клавиша.Настройки телефона, тех же функциональных клавиш, так же сильно ограничены. Гибкость нулевая.Даже для ""пенсионеров"" плох, т.к. не настроить нормально, отключив лишнее.Цена сама по себе за такой телефон крайне неадекватна.",Плохой
1.Приятно лежит в руке.2.Больше нет,"1 Отвратительная камера2 Длинные смс не открывает3 Очень сильно царапается4 Нифига невидно что написано на кнопках5 Наушники в телефоне не работают (может у меня только,пробовал разные)6 Держит батарею максимум 5 дней,что несоответствует заявленному","Через 2 месяца отдал в ремонт, залипла клавиша вызова.Вцелом звонилка неплохая если не лезть в меню и что то пробывать настраивать под себя.Реальная цена данного аппарата не более 2500рP.S. Повелся как и многие на бренд NOKIA 3310 а купил HMD Global 3310 за 3990р и этим все сказано.",Плохой
"ЭкранКамераЭффекты камерыТ9Змейка, Diamond Twister, FacebookНескучные обоиЧитает контакты с SIMНормальные в целом шрифтыЧёрный списокДва динамикаШустрый процессорМожно смотреть YouTubeЗарядное гнездо microUSBЯва: JBenchmark, Jimm, JReader, UC BrowserБраузер на кнопке «0».Берёт время с сети МТС","Не принимает ч/б картинкиНет тем оформленияЯзык переключается глобально для телефонаНе принимает .gif в ММС, только .jpgНе отправляет аудио в ММСНе проигрывает входящую ММС как открыткуОткрывает не все .midiОткрывает не все .mp4Открывает не все СМСНет возможности повернуть картинкуЗвук как mp3 32Кбит/сМенюВ строке браузера нет историиНет включения/выключения по расписаниюПростой, не научный, калькуляторИдут не все приложения ЯваБестолковый магазин приложенийНе работает с Nokia PC Suite.Не отображает продолжительность разговора","При первом включении телефон запросит у вас язык интерфейса. Важный момент, выбрав русский, вы потеряете возможность вводить английские буквы в Опере Мини! Вот в СМС такой проблемы нет, там язык можно из меню переключить.При загрузке вас спросят, брать ли время с сети. Очень полезная функция, ионистора в телефоне нет, и при вынутой СИМ время «застывает». У меня сеть МТС отдаёт текущее время.СМС и ММС. Больная тема для новой Нокии. Во-первых, можно вести оживлённую переписку при заблокированном телефоне. В других устройствах, даже китайцах, как сделано? Приходит СМС – телефон сначал разблокируем, потом читаем. Здесь разблокировка в три клика, а читать/писать СМС можно после двух. Т9 работает. Некоторые входящие СМС не скролятся, выхожу из ситуации с помощью «Переслать». С ММС телефон работает. Но на e-mail не отправляет. А во входящих ММС картинки должны быть только в формате .jpg, .gif не принимает. Midi распознаёт, но автоматически не воспроизводит. Т.е. анимированную открытку с музыкой отправлять на 3310 бесполезно.Интернет. Никаких настроек не приходило, он сам собой завёлся. Последняя опера не ставится, говорит, недостаточно памяти, но можно установить UC Browser. А ещё, телефон умеет открывать Youtube! Идёт видео, конечно, в самом поганом качестве, но идёт!Вообще, с приложениями ситуация весёлая. 3310 – китаец на платформе MRE. Т.е там есть нативные MRE приложения (.vxp), и плюс Java-машина. Соответственно, имеется два магазина, “Приложения и игры” и Mobile Store. В MRE из полезного можно скачать разве что фейсбук. Ява приложения советую качать в обход магазина, там полный хлам и дурацкий поиск. Игрушки идут, разумеется не все, большая часть вылетает с той или иной ошибкой. Выполнение MRE-приложений (Facebook, Opera Mini) - параллельно с плеером.Не понравилось, что Bluetooth и режим «Полёт» запихали в недра меню: «Настройки» - «Подключение устройств». Дополнительное меню по долгому нажатию *! А без этого в настройки сети никак не попасть!",Хороший
"Дизайн, на удивление неплохой FM тюнер, батарея 2 СИМки 4-5 дней (намного меньше заявленного, но мне норм).","Сама система, чёрт ногу сломит. Настроить под себя очень трудно, меню вообще оторвать и выбросить. Поставить мелодию на звонок или СМС из стороннего источника - танцы с бубном, но получилось. Много лишнего, дублирующегося, блок./разблокировка неудобно сделана, не поменять.","Брал для звонков с двумя СИМками, большего и не ждал. СМС набрать - пытка. Кстати, инет хоть и медленный, но позволяет хоть погоду, почту посмотреть. Скачал ОперуМини, не установилась, пишет мало памяти 0о! Кароче: звонилка, радио, плеер и ВСЁ! Камера как на самых первых цветных телефонах, не пользуюсь. Купил силиконовый бампер на Али за 80руб, выглядит более интересней, ну это так...",Обычный
"Приятный дизайн, отлично лежит в руке, помещается в маленький кармашек джинсов. Качество связи хорошее. 2 СИМки. Удобный экран.",Батарея. Заряжал уже 3 раза после полного разряда. Но заряд все равно держит неделю при умеренном использовании. Нет заявленных 22 часа в режиме разговора.Подсветка клавиш - белая. На белом фоне буквы не видно.Не сразу разобрался как вставлять карту памяти. Карта вставляется НАД 1-ой СИМ картой.Цена высоковата.,"Телефон понравился. Простой, удобный, с хорошим качеством связи.",Хороший
1. Дизайн2. Качество материалов3. Эргономика4. Четкий красочный экран5. 2 симки (микро)+CD карта6. Яркий Фонарик7. Легкий вес 80г8. Блютус (перекинуть контакты),1. Днем слепая информация кнопок из-за подсветки2. Время работы от зарядки до зарядки с 2 сим - 5 суток,"У меня был первый телефон как раз 3310. Этот же красивый, удобный телефон, все звонит, работает. Экран шикарный. Достойный предшественник.Меню можно привыкнуть, уже не напрягает.Змейка от геймлофт прикольная, но играть ни на кнопках, ни на джойстике неудобно.Время работы расстроило. Причина скорее всего низкий уровень сигнала на одной из симок в домашних условиях.Не пойму как установить на контакт фотку, ну это так баловство.Музыку и интернет не использую.По сути моя предыдущая нокия сотой серии за 1300р, функционально отличающаяся отсутствием камеры также неплохо справлялась. Филипс 636 был тяжелый, но ходил с одной симкой около месяца.Возможно лучший на сегодняшний день кнопочный телефон.",Хороший
